도서명,저자,카테고리,내용
나에게 해 주는 멋진 말,수전 베르데,"용기·리더십, 성장","나에게 건네는 긍정적인 말이 가득한 그림책으로 자신감이 부족하고 걱정이 많은 독자가 자기 존중감을 기를 수 있도록 도와준다. “다음에는 더 잘할 거야.” “난 소중해.” “차근차근 배우면 돼.”처럼 책 속에 나오는 말들은 언제 어디서나 쉽게 따라 할 수 있다. 소리 내어 말하다 보면, 있는 그대로의 나를 마주 보고 아껴 주게 될 것이다."
나와 거인,알렉산드라 카스테야노스 솔리스,"성장, 상상력","한 아이가 자신의 내면에서 만난 다양한 자아들과 사이좋게 시간을 보내며 성장하는 이야기를 아이들 눈높이에 맞춘 글과 그림으로 담아냈다. 유아에서 어린이, 청소년, 성인까지 성장하며 겪게 되는 다양한 사건과 감정들을 잘 마주 대하면 우리는 좀 더 성숙하고, 좀 더 자신을 잘 아는 사람으로 성장할 수 있다는 것을 거인과 아이의 관계를 통해 잘 보여 주고 있다."
나의 작은 베란다 정원,정희화,"과학·자연, 성장","베란다 녹색 정원! 채소와 각종 꽃을 기르며 나만의 베란다 정원을 가꾸어 보자. 어떤 식물을 키울 수 있을지, 그 식물로 무엇을 할 수 있을지, 식물을 잘 가꾸려면 어떻게 해야 할지, 어떤 준비물이 필요하며, 물은 어떻게 주어야 할지, 분갈이는 어떻게 하고, 무더위나 해충 퇴치는 어떻게 할지 등 베란다 정원 가꾸기에 필요한 내용을 그림으로 알아본다."
나의 할머니에게,안느 라발,"가족·우정, 성장","계절이 연결되어 있듯이 나와 엄마와 할머니, 우리의 삶도 연결되어 있다. 그리고 자연과 사람 또한 연결되어 있다. 모두 서로에게 영향을 받고, 서로를 돌본다. 아이는 할머니에게 질문을 던진다. 아이의 질문은 시적이고, 철학적이다. 할머니는 때론 고요하게 아이의 질문을 들어 주고, 때론 아이의 삶에 길잡이가 되어 줄 답을 주기도 한다."
난 반항하는 게 아니야,전자윤,"가족·우정, 예술","시를 품은 이야기이자 이야기가 있는 동시책, 바람동시책 5권. 둘째 세모의 시점으로 아웅다웅 다투면서도 함께 의지하며 살아가는 가족 이야기를 담았다. 엄마를 사랑하지만 가끔은 서운하고, 오빠가 짜증 나지만 가끔은 고맙다. 어느 날 갑자기, 엄마가 아파 오빠와 함께 외할머니댁에 가게 되는데… 세모는 외할머니 댁에서는 어떤 일을 겪게 될까?"
"날아라, 메리!",수 간츠 슈미트,"과학·자연, 성장",1850년대 여자아이들이 용감하거나 위험한 일을 하는 건 상상할 수 없는 일이었다. 하늘을 나는 꿈이 있었던 메리는 어른이 되어서 항공학과 기상학에 관한 책을 읽고 지식을 쌓으며 다양한 열기구를 만들었다. 여성의 한계와 사회적인 제약을 극복하고 결국 비행에 성공하며 꿈을 이룬 메리의 눈부신 성장은 독자들에게 깊은 감동을 줄 것이다.
남극 탐험의 영웅 톰 크린,제니퍼 썸즈,"용기·리더십, 상상력","남극 탐험의 역사에서 빼놓을 수 없는 네 번의 탐험에 모두 참여해 사람들을 구한 ‘숨겨진 영웅’ 톰 크린의 여정을 소개하는 그림책이다. 남극의 환경과 그곳에 살아가는 동물을 소개하고, 사람들을 구하기 위한 인내와 희생을 통해 진짜 영웅의 소박하고 위대한 모습을 보여 준다."
낭만 강아지 봉봉7 : 나는 스타 강아지,홍민정,"가족·우정, 과학·자연, 상상력","출간 이후 어린이 독자의 꾸준한 사랑과 관심을 받아 온 <낭만 강아지 봉봉>의 일곱 번째 이야기. 봉봉과 친구들이 새롭게 향한 곳은 바로 반려동물 축제장! 어느 때보다 축제의 매력에 빠진 봉봉은 장기 자랑에 참가하겠다고 다짐하는데… 남녀노소, 강아지, 고양이 모두 웃고 즐기는 반려동물 축제 속으로 봉봉과 함께 떠나 보자!"
내 감정이 하고 싶은 말,패트리시아 페르난데스 비에베라흐,"철학, 성장","이 책은 20개의 감정에 반응하는 동물들의 재밌는 이야기를 통해 감정은 어떤 역할을 하는지 알려주고, 아이들이 감정을 건강하게 활용할 수 있도록 자신의 감정을 이해하고 돌보는 방법을 안내합니다. 반가운 감정이든, 피하고 싶은 감정이든, 모든 감정은 나를 발견하고 온전히 이해할 수 있는 소중한 친구라는 것을 알게 한다."
내 친구 행운에게,스테파니 드마스 포티에,"가족·우정, 성장","산꼭대기에 혼자 사는 에밀은 멋진 정원을 가꾸고, 반짝이는 별을 보며 잠에 든다. 그런 에밀의 곁에 행운이 걸어온다. 행운은 조용했던 에밀의 삶에 질문을 만든다. 에밀에게 온 행운은 무엇일까? 에밀은 큰 변화를 어떻게 받아들일까? 누군가 돌보는 일을 행운이라 느끼게 된 에밀의 이야기. 다정한 이야기를 읽는 동안, 가까이 있는 행운들을 꼭 끌어안고 싶어진다."
내가 만드는 사전,박선영/정예원,"예술, 성장",세상의 말들을 하나하나 배워 가는 아홉 살 다람이와 우리말을 공부하며 사전을 만드는 엄마의 알콩달콩 낱말 이야기예요. 사전을 만드는 엄마는 다람이가 엮어 가는 말의 뜻이 시처럼 곱고 아름답다고 생각했어요. 그래서 그 많은 말들 중 반짝반짝 빛나는 말 43개를 모아 ‘다람이 사전’을 만들었어요. 여러분도 다람이처럼 나만의 사전을 만들어 보세요.
내가 부엉이를 잘 그리는 이유,힐러리 호더 히플리,"공감·다양성, 성장","경제적인 이유로 공원 한편에서 자동차 생활을 하는 벨과 엄마. 별안간 낯선 곳으로 밀려나 서먹하고 두려운 벨의 마음속으로 부엉이 울음소리가 들어오고, 벨은 마음의 안정을 찾는다. 얼마 뒤 자신과 처지가 비슷한 친구를 마주친 벨은 친구의 부엉이가 되기로 결심한다. 서로 보듬고 의지할 존재가 우리에게 얼마나 큰 힘이 되어 주는지를 감동적으로 보여 주는 책이다."
내가 안 그랬어!,라이언 T. 히긴스,"가족·우정, 사회·정의","가시털이 난 노먼과 나무 밀드레드는 무엇이든 늘 함께하는 친구이다. 그런데 어느 날, 둘 사이에 처음 보는 새 나무가 불쑥 나타났다. ‘밀드레드가 새 친구를 훨씬 더 좋아하면 어떡하지?’ 하나뿐인 친구를 빼앗기기 싫은 노먼의 ‘친구 지키기’ 대작전이 펼쳐진다!"
내가 정말 나일까?,세르조 올리보티,"성장, 철학","어느 날 아침에 일어난 우고는 자신이 더 이상 예전의 우고는 아니라는 것을 알게 된다. 날마다 다른 모습으로 깨어나는 우고의 변화는 자기 자신은 물론 주변을 대하는 자신의 기분과 행동에 영향을 미친다. 성장한다는 것은 하루하루 변해간다는 뜻이고, 우고는 그 사실을 온몸으로 느낀다. 변화와 성장, 그리고 ‘정상’이라는 불확실한 개념에 관한 그림책."
너는 이야기야,밥 라츠카,"성장, 경제","칼데콧 대상 수상 작가 매튜 코델의 첫 읽기물이 출간되었다. 성격은 달라도 손발 척척, 환상의 호흡을 자랑하는 두 친구의 아슬아슬한 모험과 위기 속에서 더욱 빛나는 따스한 우정 이야기가 담긴 책이다."
너도 고민이 있니?,천유링,"철학, 성장",고민이 생겨 친구들에게 질문하고 대답을 들으며  스스로 답을 찾아가는 미나의 이야기. 사회정서학습 그림책 시리즈 첫 권으로 자기 감정의 인식과 관리에 대한 이야기를 어린이 눈높이에서 보여주는 그림책이다. 이 책을 통해 자신의 감정을 이해하고 관리하는 방법을 배울 수 있을 것이다.
너의 손 나의 발,기묘은,"성장, 가족·우정",손이 유난히 큰 꾸꾸와 발이 큰 링링은 사막에서 오아시스를 찾아간다. 함께 장점을 살려 열매를 맛본 이들은 자만심이 생겨 각자 오아시스를 찾아 길을 떠난다. 과연 이들은 오아시스를 찾았을까? 혼자라면 도저히 할 수 없는 것 같은 어려운 일도 ‘함께’라면 할 수 있다. 개개인의 능력이 모였을 때의 힘. 그 힘을 통해 함께 만들어 가는 사회를 이야기해 보자.
노경실 선생님이 들려주는 가정 폭력 안전,노경실,"사회·정의, 과학·자연, 철학","‘가정 폭력 안전’은 성 예절 및 성폭력, 아동 학대, 인권 폭력 등 가정 안에서 일어나는 폭력의 위험성에 관해 이야기하고 있습니다. 또한 안전 스티커를 통해 앞에서 배운 것들을 복습해 볼 수 있습니다."
노경실 선생님이 들려주는 가정생활 안전,노경실,"사회·정의, 성장","‘노경실 선생님이 들려주는 어린이 안전 동화 시리즈’는 어린이들에게 나를 안전하게 지키는 것이 곧, 나의 생명과 건강을 보호하는 것이며, 나의 멋진 미래를 가꾸는 첫걸음이라는 것을 이야기합니다. 그리고 이것이 바로 나를 사랑하는 이들에게 가장 큰 기쁨과 선물이라는 것도 꼭 기억하라고 합니다."
노경실 선생님이 들려주는 교통안전,노경실,"사회·정의, 성장",‘교통안전’은 교통질서에 꼭 필요한 안전 지침 및 안전에 필요한 요소들을 재미있는 이야기 속에 담고 있으며 안전 스티커를 통해 앞에서 배운 것들을 복습해 볼 수 있습니다.
노경실 선생님이 들려주는 사회 재난 안전,노경실,"사회·정의, 예술","‘사회 재난 안전’은 공공시설에서 일어나는 화재나 붕괴 사고, 코로나19와 같은 바이러스, 환경 오염 등 사회에서 일어나는 다양한 재난과 안전한 사회를 지키기 위한 예방법이 담겨 있습니다."
노경실 선생님이 들려주는 약물과 사이버 중독 안전,노경실,"사회·정의, 성장",‘약물과 사이버 중독 안전’은 약물 위험 및 술과 담배의 위험성 그리고 스마트폰과 인터넷 사용 안전 등 일상에서 일어나는 약물과 사이버 중독의 위험성에 관해 이야기하고 있습니다.
노경실 선생님이 들려주는 자연 재난 안전,노경실,"사회·정의, 과학·자연","‘자연 재난 안전’은 자연 현상으로 인해 발생하는 다양한 재난에 관한 이야기들로 황사, 지진, 가뭄, 태풍, 폭설 등 비상시, 안전 요령에 관해 꼭 알아 두어야 할 주제들을 재미있는 이야기를 통해 알려 줍니다."
노경실 선생님이 들려주는 학교 폭력 안전,노경실,"사회·정의, 가족·우정, 성장","‘학교 폭력 안전’은 언어 및 신체 폭력, 사이버 폭력 등 학교 또는 친구들 사이에서 일어나는 폭력의 위험성에 관해 이야기하고 있습니다. 또한 안전 스티커를 통해 앞에서 배운 것들을 복습해 볼 수 있습니다."
뇌 : 우리 몸의 조종실,엠마 로버츠,"과학·자연, 성장","똑똑한 뉴런이 소개하는 놀라운 뇌 우리 몸의 정보를 전달하는 특별한 세포, ‘뉴런’을 통해 뇌가 자극을 어떻게 받아들이고, 자극 정보를 어떻게 처리하고 반응하는지 등을 알려 준다"
누구를 보낼까요,이형래,"가족·우정, 성장","2022 개정 국어 2-1 교과서에 수록된 작품으로 사회 공동체를 숲으로 비유하고, 그 사회 구성원을 동물들로 의인화한 그림 동화이다. 아름다운 숲에 생명력이 강한 칡넝쿨이 너무 많아져서 숲의 식물 생태계가 위태로워진다. 이 문제를 직접 해결할 수 없다. 여러 동물이 모여 의견을 나누고 어떻게 합의해 나가는지를 이 그림 동화는 우화적으로 잘 보여준다."
눈부시게 무시무시한 반짝이 귀신,윤여림,"철학, 예술","반짝이는 원래 달걀 귀신이었는데 햇살에 반짝이는 분홍분홍공주의 왕관을 보고, 왕관을 머리에 써 보니 너무 예뻐 반짝이는 물건을 마구 붙였다. 반짝이 귀신이 된 달걀귀신은 몸이 산만해져 느릿느릿 걷게 되었다. 귀신들은 사람의 비명 소리를 먹고 살아야 하는데, 반짝이 귀신은 사람을 만날 수 없으니 쫄쫄 굶을 수밖에 없다. 이 위기를 극복할 수 있을까?"
"눈오리야, 우리가 지켜 줄게!",김온서,"가족·우정, 성장",엄마를 하늘나라로 떠나보내고 전학을 가면서 친구를 사귀지 않겠다고 마음먹은 우주는 놀이터 시소 위에 눈으로 만든 눈오리를 보게 된다. 엄마와의 추억이 떠오른 우주는 눈오리가 녹지 않게 지켜주고 싶었다. 그때 옆에 있던 아이들이 우주를 돕겠다고 나선다. 우주와 아이들은 눈오리가 녹지 않게 지킬 수 있을까?
다정한 빵집,정연숙,"공감·다양성, 예술","그 어느 때보다 타자에 대한 배척과 약자에 대한 소외가 심한 오늘 날, 잃어버린 우리의 너그러운 마음을 다시 되살리는 그림책이다."
다투지 않고 좋은 친구 만드는 다정한 대화법,초등샘Z,"가족·우정, 성장","두근두근! 초등학교 입학을 앞둔 아이들은 설레는 마음으로 하루하루를 보내요. 새로운 친구를 사귈 걱정에 불안한 마음이 앞서기도 하지요. 새로운 학년으로 올라갈 초등 저학년, 고학년 친구들도 같은 마음일 거예요. 처음 만나는 아이들과 사이좋게 지내려면 어떡해야 할까요?"
단짝 친구 차지하기 대작전,심윤경,"가족·우정, 성장","‘은지와 호찬이’ 시리즈가 새 그림과 함께 돌아왔습니다. 입학할 때부터 단짝 친구였던 은지와 지수 사이에 끼어든 전학생 호수 때문에 은지는 자꾸만 억울합니다. 나의 단짝 친구가 언제나 ‘나만의 친구’이기를 바라는 마음, 새로 온 전학생에 대한 호기심과 반발감 등 이제 막 ‘사회생활’을 시작한 저학년 어린이들의 친구 관련 고민이 생생히 담겨있는 동화입니다."
달띄우미,김수경,"성장, 예술","특별한 아기 두더지 ‘두지’의 성장과 가족의 의미를 담은 그림책. 태어날 때부터 손톱이 없다는 이유로 버림받은 ‘두지’는 ‘두나’ 덕분에 세상을 살아가는 방법을 배운다. 두나 또한 두지와 함께하며 꿈과 희망을 다시 떠올린다. 서로에게 빛이 되어 준 두지와 두나를 통해 부족함을 채워주는 보살핌이 무엇인지, 가족의 진정한 의미가 무엇인지 되돌아보게 된다."
달래와 세 아빠,김청엽,"가족·우정, 공감·다양성","‘멧돼지나 놀러 오는 깊은 산골’ 정담마을에 사는 8살짜리 소녀 달래에겐 세 아빠가 있습니다. 달래네 세 아빠는 ‘아빠 삼 형제’입니다. 작가는 특별한 가족의 형태를 가진 ‘달래’라는 소녀의 이야기를 통해 세상에 존재하는 별별 가족이 품고 있을 ‘속내’를 결코 섣부르지 않게, 또 바로 그와 같은 사려 깊음으로 더욱 빛나는 따뜻한 재치로 그려 냅니다."
"달려라, 애니! 자전거 타고 세계 속으로",비비안 커크필드,"예술, 성장","1890년대 자전거 타는 여자가 거의 없던 시대에 자전거를 타고 세계 일주에 도전한 미국의 여성,‘애니 런던데리’의 이야기를 담은 그림책이다. 여자가 바지 입는 것조차 허락되지 않던 시절, 애니는 자전거를 타기 위해 남들의 시선은 아랑곳없이 헐렁한 바지로 갈아입었다. 자전거를 타고 세계 일주를 떠난 그녀의 특별한 도전!"
"달리고, 조심해!",한상진,"사회·정의, 예술","서울대학교 환경대학원에서 교통공학을 연구하는 한상진 교수가 효과적인 어린이 교통안전교육을 위해 쓴 그림책이다. 귀여운 동물 자동차들이 벌이는 자동차 경주를 통해 교통사고가 나는 원인과 이유를 쉽고 재미있게, 입체적으로 설명한다. '이유를 알면 행동도 달라집니다.' 성숙하고 안전한 교통문화를 위해 어린이 독자들뿐 아니라 어른들에게도 꼭 필요한 그림책!"
달팽이,에밀리 휴즈,"역사, 용기·리더십, 예술, 사회·정의","20세기 세계 미술사의 중요한 조각가 이사무 노구치. 미국계 일본인 다문화 가정 2세로 평생 차별과 소외감 속에 살았으며, 태평양 전쟁까지 겪었던 상처투성이 삶. 그리고 그런 아픔을 치유해 준 그의 예술 이야기이다."
당나귀 임금님,조태봉,"용기·리더십, 공감·다양성, 역사",올바른 ‘리더의 자격’을 깨닫게 해주는 그림책. 신라 경문대왕의 참언이 담고 있는 의미를 현대적으로 재해석해 내 올바른 리더상을 구현해 보여준다.
당신을 측정해 드립니다,권정민,"사회·정의, 공감·다양성","권정민 작가는 고양이에 빗댄 측정 기술이 실은 비교와 차별의 기술임을 특유의 위트와 아이러니로 담아낸다. 우리 사회의 차별이 작동하는 마음을 들추어내고, 차별을 감각 하는 순간을 절묘하게 표현한다. 현대 사회에서 차별은 보이지 않게 은밀히 작동되고 불평등은 더욱 심화된다. 모든 측정의 이야기는 하나의 질문을 향한다. 나의 삶은 차별과 관계없는 걸까?"
대부가 된 죽음,샐리 니콜스,"철학, 가족·우정","그림 형제의 ‘대부가 된 죽음’이 새롭게 태어나다! 가난한 어부는 아들의 대부로 하느님과 악마가 아닌 ‘죽음, 데스’를 선택합니다. 누구보다 정직하고 공평하다 믿었기 때문이지요. 데스는 어부에게 아주 특별한 세례 선물을 주고, 그 선물로 인해 어부는 탐욕을 갖게 되는데……. 약속의 소중함과 선택의 무거움, 욕심에 대한 경계심을 깨닫게 하는 이야기"
더 빨리 셀 수 있다고?,윤병무,"과학·자연, 예술","초등 수학의 핵심 지식 개념을 재밌는 이야기와 멋진 그림으로 형상화한 본격 수학 그림 동화이다. 수학이 원래는 맛있는 공부라는 사실을 깨쳐주는 그림책이다. 덧셈은 어떻게 하게 되었고, 곱셈은 어떤 조건일 때 할 수 있으며, 왜 곱셈이 덧셈보다 빠르고 쉬운 셈법인지를 덧셈과 곱셈을 의인화해 등장시켜 재밌게 이야기한다. 교과 공부에 앞서서 보면 좋은 동화이다."
도서관 챌린지,김수희 외,"상상력, 성장",사서 선생님들이 직접 만든 도서관 이용 가이드. 도서관 이용에 꼭 필요한 내용들이 재미있는 게임 형태로 담겨 있어 아이들이 쉽게 도서관 이용법을 익힐 수 있습니다. 아이들이 스스로 해 볼 수도 있고 교육용 교재로도 사용할 수 있습니다.
도서관에 달팽이라니!,안지은,"예술, 성장, 가족·우정","책을 사랑하는 달팽이가 도서관에 살고 있다는 깜찍한 상상에서 시작된 이야기이다. 숙제 때문에 책을 읽어야 하는 윤이와 읽고 있던 책을 뺏기지 않으려는 달팽이의 시끌벅적한 소동이 흥미진진하게 펼쳐진다. 이를 통해 도서관이 누구에게나 열려 있는 멋진 공간이며, 책의 즐거움이 상상 이상으로 크고 멋지다는 것 그리고 천천히, 꾸준히 읽는 독서의 중요성을 전한다."
도시 공동체 이야기,안드레아 커티스,"가족·우정, 사회·정의","사람들이 자기가 사는 동네를 더 좋고 멋지게 만들기 위해 행동하고 협력하는 이야기. 도시 연구가들은 서로를 챙기고 함께 음식을 나누며 예술을 만들고 공동체를 형성하는 동네. 세계적으로 각기 다른 도시에서 사람들의 상호작용과 참여가 도시를 더 나은 공간으로 변화시키고, 여러 사례를 통해 작은 변화가 우리 삶에 얼마큼이나 큰 영향을 미치는지도 보여준다."
도전! 저탄소 요리 대결,최재희,"사회·정의, 과학·자연","오늘은 엄마의 생신, 아빠는 지오에게 뜻깊은 날을 위한 ‘기후 위기 대응 요리’를 만들자고 제안한다. 탄소를 적게 배출하는 요리를 만들기 위해 까다롭게 재료를 선택하고, 자원을 아끼는 법을 배워 가는 이야기가 흥미롭게 펼쳐진다. 기후 변화란 무엇이고, 원인은 무엇인지, 기후 위기를 막기 위해 어떤 노력이 필요한지 알려 주는 지리 환경 그림책이다."
동물과 말하는 아이 릴리 스페셜,타냐 슈테브너,"과학·자연, 성장",악당에게 끌려간 말 메를린을 구하기 위해 릴리의 동물 지원군이 한자리에 모였다! 릴리와 동물 지원군은 위기에 빠진 메를린을 구하고 숲의 평화를 되찾을 수 있을까?
동물들의 슈퍼 파워,솔레다드 로메로 마리뇨,"과학·자연, 성장","슈퍼히어로를 뛰어넘는 엄청난 능력을 가진 슈퍼동물들을 만나보자. 19가지 생존 기술 아이콘이 들어 있어 동물들의 특징과 생태를 알 수 있다. 이 독특한 동물들이 어떻게 지구를 보살피고, 다른 생물과 어울려 지내는지 살펴볼 수 있다."
동물원에 간 마법사,최성자,"가족·우정, 과학·자연",사람들과 사물과 자연이 서로 어울리며 화목하게 살아가는 따뜻한 이야기를 담아낸 동시집. 무한 긍정의 눈으로 세상을 바라보게 하는 62편의 동시가 실렸다.
두 점 이야기,요안나 올레흐,"성장, 가족·우정","똑같은 크기에 색깔만 다른 두 점이 각각 다른 환경에 처해있습니다. 칭찬의 기준, 교육의 기회, 투표의 권리, 사회 활동의 가능성까지. 격차가 선명해진 두 점 이야기는 오늘날의 시점으로 넘어옵니다. 분홍 점과 파랑 점은 바로 여성과 남성을 상징합니다. 『두 점 이야기』는 아주 오랫동안 묵은 성역할의 그릇된 인식을 짚어 갑니다. 여러분은 어떻게 생각하세요?"
두더지와 들쥐 : 도토리 키재기,앙리 뫼니에,"가족·우정, 성장","세상에 둘도 없는 단짝 두더지와 들쥐에게도 추운 겨울이 찾아온다. 그러나 춥다고 집 안에 움츠리고 있을 두더지가 아니다. 「장작」 「첫 눈송이」 「페탕크 시합」 등 세 편의 놀이 이야기를 읽다 보면, 어느새 추위는 저만치 물러가고 따뜻하고 행복한 에너지가 차오른다. 추운 겨울날, 어린이와 어른이 서로에게 읽어 주고 이야기꽃 피우기에 좋은 책이다."
두루미 데려오기,김옥애,"과학·자연, 사회·정의",어린이들에게 환경을 지키기 위해서는 스스로 나서서 무엇이든 해야 한다는 메시지를 담백한 이야기로 알기 쉽게 전해 주는 저학년 읽기 책이다.
둘이 싸우면,브리타 사박,"가족·우정, 예술","자칭 가장 힘센 동물 호랑이와 자칭 동물의 왕인 사자가 누가 더 강한지 가리는 큰 싸움이 벌어진다. 그러나 온 힘을 다해 숨 막히는 대결로 거듭 싸워도 결과는 막상막하. 지켜보던 숲속 동물들도 난처하기만 했다. 다양한 몸동작, 힘, 감정을 따뜻하고 귀엽게 표현하는 글과 그림으로 싸움, 힘, 겁에 대해 생각해 볼 수 있는 우화 그림책이다."
뒷담화 주머니,신은영,"가족·우정, 성장","다른 사람 험담은 절대 하지 않는 루루에게 어느 날 뒷담화 주머니가 찾아온다. “친구에 대한 불만을 적어 뒷담화 주머니에 넣으세요. 속이 뻥 뚫릴 거예요!” 과연 뒷담화 주머니는 루루의 답답한 마음을 시원하게 풀어 줄 수 있을까? 뒷담화에서 비롯된 친구들의 오해, 다툼, 화해를 그린 이야기로, 친구 관계에서 중요한 솔직함, 말의 조심성에 대해 전한다."
들풀 마을의 구돌이,조규영,"성장, 가족·우정, 사회·정의","들풀 마을 이웃들의 따뜻한 마음과 다정한 위로! 들풀 마을에서 벌어지는 가슴 두근거리고 뭉클한 일상을 담았다. 〈우체부 넝구리 아저씨의 지도〉와 〈눈사람 야꿍이〉의 이야기에는 각각 토끼 남매 구돌이와 구슬이가 등장하지만 사실상 들풀 마을 주민 모두가 주인공이다. 초록빛이 무성한 숲속과 새하얀 눈이 쌓인 겨울, 들풀 마을의 두 정경을 즐길 수 있다."
딩동~ 박쥐 도감,"정철운, 전영신, 김성철","성장, 가족·우정","이제 막 ‘박쥐’에 관심을 가지기 시작하였거나, 수수께끼투성이 박쥐가 궁금한 초등 저학년생들을 위해 오랫동안 박쥐를 연구해 온 ‘박쥐 박사’ 정철운, 전영신, 김성철 세 저자가 힘을 합쳐 완성한 자연 관찰 도감이다. 박쥐의 독특한 생김새뿐 아니라 이름에 담긴 뜻과 생태 특징까지 아이들의 눈높이에 맞춰 알기 쉽게 엮었다."
따뜻이 흘러간 날들,김지원,"예술, 성장","최선을 다했지만, 늘 실패하고 있다는 생각에 사로잡힐 때가 있다. 또다시 실패한다고 해도 괜찮다. 흔들릴 때 터득할 수 있는 배움이 있고, 넘어질 때만 볼 수 있는 하늘이 있으니까. 천과 실을 이용한 아플리케 자수 그림으로 완성한 특별한 그림책이다."
딱 알맞은 집,신순재,"과학·자연, 사회·정의",할머니 할아버지는 아담한 집에 살고 있었어요. 어느 날 할머니는 밖에 나갔다가 집 잃은 고릴라와 코끼리 여러 동물을 데려왔어요. 두 사람은 동물들에게 자리를 내주며 ‘좁긴 하지만 이만하면 딱 알맞은 집’이라고 여겼지요. 마지막으로 달팽이가 집으로 들어왔을 때 딱 알맞았던 집은 마침내 뚜드득 뚝! 이제 할머니 할아버지와 동물들은 어디서 살게 될까요?
땅따먹기,김지영,"과학·자연, 사회·정의, 철학","심심한 아이와 동물들은 땅따먹기 놀이를 한다. 돌을 세 번 튕겨서 땅을 많이 차지하면 이기는 놀이. 하나, 둘, 셋! 즐거운 놀이가 더 많은 땅을 차지하고 싶은 아이의 욕심으로 조금씩 깨진다. 아이는 놀이의 규칙을 어기고 동물들을 땅에서 몰아낸다. 평온한 땅은 거칠게 변하고, 아이는 홀로 남겨진다. 우리가 당면한 환경 문제에 대해 깊이 생각하게 된다."
떠돌떠돌 떠돌 씨,신은숙,"가족·우정, 상상력","자기 의지와 상관없이 세상을 떠돌아다니게 된 떠돌 씨가 작은 나무를 만나 삶의 전환점을 맞이하게 된 이야기. 이 책은 삶에서 마주하는 선택의 갈림길에 정답은 없으며, 그 누구를 위한 것이 아닌 자기 행복을 위한 선택이 중요하다고 말한다. ‘나’라는 존재의 의미와 삶의 목표를 찾아 떠난 떠돌 씨의 여정을 담담하고 먹먹한 수채화로 담아 긴 여운을 남긴다."
떨어지는 빗방울의 끔찍한 결말,아드리앵 파를랑주,"사회·정의, 예술","실험적인 시도와 철학적인 메시지로 주목받는 아드리앵 파를랑주 작가 그림책. 떨어지는 비 한 방울은 평화로운 풍경을 어떻게 바꾸었을까? 이 그림책은 나무 꼭대기에서 땅까지, 비 한 방울이 떨어지는 데 걸리는 시간 동안의 이야기다. 빗방울이 떨어지는 짧은 순간을 11컷에 담아 보여줌으로써 작은 움직임이 불러온 나비 효과를 유쾌하게 표현한 그림책이다."
또 비밀이야?,이현아,"가족·우정, 성장","자신도 모르게 친구의 비밀을 떠벌리게 된 도우는 비밀이라고 말하지 않아도 비밀인 게 있고, 비밀은 절대 말하면 안 된다는 걸 다시 한번 깨닫는다. 비밀 때문에 머리가 아픈 도우. 엄마는 가족끼리는 비밀이 없어야 한다고 하고, 연희와의 비밀은 모두 앞에서 말해야만 하는 상황에 부닥치는데 지켜야 하나 말아야 하나!"
"또, 버려 버려 스티커",주봄,"상상력, 가족·우정","딱지 왕을 향한 웅이의 마음이 점점 커져만 가던 어느 날, 뭐든 버려 준다는 도깨비 스티커로 그만 서빈이도 버리고 말았다. 서빈이를 구하는 방법은 단 하나! 바로 도깨비와의 딱지치기 대결에서 이기는 것이다. 웅이는 서빈이를 구할 수 있을까?"
또드랑 할매와 호랑이,오호선,"상상력, 역사, 철학, 용기·리더십","산골짜기 외딴집에 또드랑 할매가 또드랑 또드랑 다듬이질을 하는데 무서운 호랑이가 나타나 잡아먹겠다고 위협한다. 할매는 죽기 전에 마지막 소원을 들어 달라고 하여 시간을 버는데, 할매와 호랑이의 대결은 어떻게 끝날까? 팥죽 할매를 이으면서도 더 주체적이고 매력적인 할머니를 만나 보자. 옛이야기의 즐거움과 그림책의 매력이 한껏 어우러진 작품이다."
똑똑똑! 집 지으러 왔어요,군타 슈닙케,"예술, 가족·우정","내 집을 지으려는 꿈을 안고 건축가를 찾아간 이네스의 이야기를 통해 내 집과 건축, 나아가 삶에 대해 이야기하는 그림책이다. 우리의 삶을 더 편리하고 아름답게 만드는 과정인 건축, 그중에서도 누구나 한번은 꿈꾸는 내 집 짓기에 관한 즐거운 상상의 시간을 이 그림책은 독자들에게 선물할 것이다."
럭키 덕희,매튜 브로드허스트,"가족·우정, 성장","누구나 살다 보면, 열심히 해도 안되는 힘들 때가 있다. 여기 놀라울 정도로 되는 일이 하나도 없고, 작은 운조차 따르지 않는 주인공 '덕희'가 있다. 친구들마저 놀리며 '럭키 덕희'라고 별명을 붙여 주었다. 덕희의 힘든 하루에 이야기를 한 번 들어보자. 사랑스럽고 귀엽고 심플한 캐릭터들이 전하는 오리털 코트보다 따뜻한 이야기."
레오의 특별한 꿈,정소현,"성장, 공감·다양성, 사회·정의, 철학","사람들마다 꿈을 머리에 달고 사는 ‘꿈마을’, 꿈에 따라 형형색색 각기 다른 모양의 ‘델’, 그리고 소원을 들어주는 ‘마법의 숲’과 ‘나무 마법사’까지. 이 책은 판타지 이야기 구성을 위한 기본적인 배경과 캐릭터 설정이 자연스럽게 이루어져 있다. 따라서 전혀 다른 세상의 이야기처럼 멀게 느껴지지 않고, 우리가 사는 세상에 빗대어서 쉽게 공감할 수 있다."
